,accuracy,precision,recall,f-score
Default Tree,0.8966153846153846,0.8130545696085392,0.8966153846153846,0.8966153846153846
Entropy,0.9027692307692308,0.8241403771078841,0.9027692307692308,0.9027692307692308
Max Depth: 8,0.8313846153846154,0.7531345134351604,0.8313846153846154,0.8580501746586218
Max Depth: 10,0.8904615384615384,0.8118286693243715,0.8904615384615384,0.8951438292607484
Max Depth: 15,0.9064615384615384,0.8311743451942786,0.9064615384615384,0.9064615384615384
Max Features: auto,0.8812307692307693,0.7874963033286125,0.8812307692307693,0.8812307692307693
Max Features: log2,0.8566153846153847,0.7469525531777947,0.8566153846153847,0.8566153846153847
Max Features: sqrt,0.8627692307692307,0.7564868451443696,0.8627692307692307,0.8627692307692307
Max Leaf Nodes: 100,0.7593846153846154,0.6902849592427793,0.7593846153846154,0.816137566137566
Max Leaf Nodes: 200,0.7606153846153846,0.6912507658921774,0.7606153846153846,0.8169200264375414
Max Leaf Nodes: 300,0.7624615384615384,0.6942181431432595,0.7624615384615384,0.8189028420356906
Max Leaf Nodes: 400,0.7612307692307693,0.6931550713324868,0.7612307692307693,0.8181216931216932
Min Impurity Decrease:  0.00003,0.9027692307692308,0.8243075176789787,0.9027692307692308,0.9027692307692308
Min Impurity Decrease:  0.0001,0.9021538461538462,0.823400607243405,0.9021538461538462,0.9021538461538462
Min Impurity Decrease:  0.0003,0.8486153846153847,0.7791827496015208,0.8486153846153847,0.8744451490171211
Presort,0.9015384615384615,0.8222605370047982,0.9015384615384615,0.9015384615384615
