,accuracy,precision,recall,f-score
Default Tree,0.7747692307692308,0.6222536352753575,0.7747692307692308,0.7747692307692308
Entropy,0.7747692307692308,0.6222536352753575,0.7747692307692308,0.7747692307692308
Max Depth: 8,0.7593846153846154,0.6307731709949697,0.7593846153846154,0.7787945724203219
Max Depth: 10,0.7667692307692308,0.6189436873992242,0.7667692307692308,0.7717559615980178
Max Depth: 15,0.7673846153846153,0.6122711846674646,0.7673846153846153,0.7673846153846153
Max Features: auto,0.7433846153846154,0.5788089610007974,0.7433846153846154,0.7433846153846154
Max Features: log2,0.6732307692307692,0.49159981892518,0.6732307692307692,0.6732307692307692
Max Features: sqrt,0.7495384615384615,0.5886105372733514,0.7495384615384615,0.7495384615384615
Max Leaf Nodes: 100,0.728,0.6292405674615198,0.728,0.7747216764898494
Max Leaf Nodes: 200,0.7261538461538461,0.6291109981522921,0.7261538461538461,0.7745323268788973
Max Leaf Nodes: 300,0.7286153846153847,0.6326173380846096,0.7286153846153847,0.7763934426229508
Max Leaf Nodes: 400,0.7304615384615385,0.635105675382316,0.7304615384615385,0.7786159396523451
Min Impurity Decrease:  0.00003,0.7667692307692308,0.6116865897827557,0.7667692307692308,0.7667692307692308
Min Impurity Decrease:  0.0001,0.7753846153846153,0.6236252783180805,0.7753846153846153,0.7753846153846153
Min Impurity Decrease:  0.0003,0.7575384615384615,0.6264003970005829,0.7575384615384615,0.7749449165879759
Presort,0.7747692307692308,0.6232725099571315,0.7747692307692308,0.7747692307692308
